,담보대출_대출용도_거주주택 구입,담보대출_대출용도_거주주택이외 부동산 구입,담보대출_대출용도_전(월)세 보증금 마련,담보대출_대출용도_사업자금 마련,담보대출_대출용도_생활비 마련,담보대출_대출기관_은행(2010년은 농수협 중앙회 제외),담보대출_대출기관_저축은행,담보대출_대출기관_비은행금융기관(2010년은 농수협중앙회 포함),신용대출_대출용도_거주주택 구입,신용대출_대출용도_거주주택이외 부동산 구입,신용대출_대출용도_전(월)세 보증금 마련,신용대출_대출용도_사업자금 마련,신용대출_대출용도_생활비 마련,신용대출_대출기관_은행(2010년은 농수협 중앙회 제외),신용대출_대출기관_저축은행,신용대출_대출기관_비은행금융기관(2010년은 농수협중앙회 포함),자산,부채,순자산액,가구주 은퇴여부,가구주 성별,가구주교육정도 통합별,가구주 혼인상태,입주형태,수도권여부,가구주 직업(대분류),가구주 종사상지위,부실가계
98,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,5960,0.0,5960.0,1,0,1,0,0,1,0,0,0
99,0,0.0,1,0.0,0,1.0,0,0.0,0,0.0,0,0,0,0.0,0,0,41878,19200.0,22678.0,0,0,0,1,0,1,0,0,0
100,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,27016,0.0,27016.0,1,1,1,0,0,1,0,0,0
101,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,1.0,0,0,58860,18000.0,40860.0,1,0,1,1,0,1,0,0,0
102,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,203777,70000.0,133777.0,0,1,0,0,1,1,0,0,0
103,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0,0,0.0,0,0,4640,262.0,4378.0,0,1,0,0,0,1,0,0,0
104,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1.0,0,0,36000,720.0,35280.0,1,0,0,1,1,1,0,1,0
105,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,3600,0.0,3600.0,0,1,0,0,1,0,0,0,0
106,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,7436,1800.0,5636.0,1,0,0,1,1,0,0,0,0
107,1,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0,0,0.0,0,0,84240,2650.0,81590.0,1,0,0,1,1,0,0,1,0
108,1,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0,1,1.0,0,0,23090,10694.0,12396.0,1,1,1,1,1,0,0,0,0
109,1,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0,0,0.0,0,0,28086,2380.0,25706.0,0,0,0,1,1,0,0,0,0
110,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0,0,0.0,0,0,14929,6000.0,8929.0,1,0,0,1,1,0,0,0,0
111,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0,0,0.0,0,0,21256,1738.0,19518.0,1,0,0,1,1,0,0,1,0
112,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,56090,8000.0,48090.0,1,0,0,1,1,1,0,1,0
113,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,146300,0.0,146300.0,0,0,1,1,1,1,0,0,0
114,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.0,1,0,2880,2698.0,182.0,0,1,0,0,0,1,0,0,0
115,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0,0,0.0,0,0,280420,72816.0,207604.0,1,0,1,1,0,1,0,1,0
116,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,198660,20000.0,178660.0,1,0,1,1,1,1,0,0,0
117,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,56490,0.0,56490.0,1,0,0,1,1,1,0,0,0
