,담보대출_대출용도_거주주택 구입,담보대출_대출용도_거주주택이외 부동산 구입,담보대출_대출용도_전(월)세 보증금 마련,담보대출_대출용도_사업자금 마련,담보대출_대출용도_생활비 마련,담보대출_대출기관_은행(2010년은 농수협 중앙회 제외),담보대출_대출기관_저축은행,담보대출_대출기관_비은행금융기관(2010년은 농수협중앙회 포함),신용대출_대출용도_거주주택 구입,신용대출_대출용도_거주주택이외 부동산 구입,신용대출_대출용도_전(월)세 보증금 마련,신용대출_대출용도_사업자금 마련,신용대출_대출용도_생활비 마련,신용대출_대출기관_은행(2010년은 농수협 중앙회 제외),신용대출_대출기관_저축은행,신용대출_대출기관_비은행금융기관(2010년은 농수협중앙회 포함),자산,부채,순자산액,가구원수,가구주 만나이,가구주 성별,가구주교육정도 통합별,가구주 혼인상태,가구주 은퇴여부,입주형태,수도권여부,가구주 직업(대분류),가구주 종사상지위,부실가계
87,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,10740,0.0,10740,3,51,0,1,0,1,0,1,0,1,0
88,1,1.0,0,0.0,0,1.0,0,0.0,0,0,0,0,1,1,0,0,112372,44884.0,67488,3,56,0,1,1,1,1,1,0,1,0
89,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,1,0,0,48050,500.0,47550,1,69,1,0,0,0,1,1,0,0,0
90,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,45830,17000.0,28830,3,67,0,1,1,1,1,0,0,1,0
91,1,0.0,0,0.0,0,1.0,0,0.0,0,0,0,1,0,1,0,0,32793,8229.0,24564,2,34,0,1,0,1,1,0,0,0,0
92,0,1.0,0,0.0,0,1.0,0,0.0,0,1,0,0,0,1,0,0,89195,38816.0,50379,2,76,0,0,1,0,1,0,0,0,1
93,1,0.0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,68978,10300.0,58678,4,44,0,1,1,1,1,1,0,1,0
94,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,33405,1000.0,32405,5,58,0,0,1,1,1,1,0,1,0
95,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,21387,200.0,21187,2,73,0,0,1,1,1,1,0,0,0
96,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,1,0,1,0,0,60980,12600.0,48380,4,51,0,1,1,1,1,1,0,1,0
97,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0,1,0,0,5648,945.0,4703,1,27,1,1,0,1,0,1,0,1,0
98,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,1,1,0,0,46575,19000.0,27575,3,36,0,1,1,1,0,1,0,1,0
99,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,156840,70000.0,86840,4,63,1,0,0,0,1,1,0,0,0
100,0,0.0,0,0.0,1,1.0,0,0.0,0,0,0,0,0,0,0,0,4181,462.0,3719,1,53,1,0,0,1,0,1,0,0,0
101,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,1,0,1,0,0,40477,500.0,39977,2,63,0,0,1,1,1,1,0,0,0
102,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,3595,0.0,3595,1,69,1,0,0,1,1,0,0,0,0
103,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,5232,1600.0,3632,4,56,0,0,1,1,1,0,0,0,0
104,1,0.0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,67516,3250.0,64266,3,62,0,0,1,1,1,0,0,0,0
105,1,0.0,0,0.0,0,1.0,0,0.0,0,0,0,0,1,1,0,0,24660,12234.0,12426,3,52,1,1,1,1,1,0,0,0,0
106,1,0.0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,28010,2500.0,25510,2,66,0,0,1,0,1,0,0,0,0
107,0,0.0,0,0.0,0,0.0,0,1.0,0,0,0,0,0,0,0,0,14570,8068.0,6502,4,39,0,0,1,1,1,0,0,1,0
108,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,20422,970.0,19452,2,61,0,0,1,1,1,0,0,0,0
109,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,45800,8000.0,37800,2,69,0,0,1,1,1,1,0,0,0
110,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,7300,5650.0,1650,2,40,1,0,0,1,0,1,1,1,0
111,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,214250,0.0,214250,2,71,0,1,1,0,1,1,0,0,0
112,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1991,140.0,1851,2,51,1,0,0,1,0,1,0,0,0
113,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,191500,0.0,191500,5,56,0,1,1,1,1,1,0,0,0
114,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,192800,20000.0,172800,2,68,0,1,1,1,1,1,0,1,0
115,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,66665,60.0,66605,4,61,0,0,1,1,1,1,0,0,0
116,1,0.0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,50041,3000.0,47041,4,49,0,0,1,1,1,1,0,0,0
117,1,0.0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,49000,3000.0,46000,5,54,0,1,1,1,1,1,0,1,0
118,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,16820,0.0,16820,2,82,1,0,0,0,1,0,0,0,0
119,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,26528,3500.0,23028,4,50,0,1,1,1,1,0,0,1,0
120,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,2226,0.0,2226,1,46,1,1,0,1,0,0,0,0,0
121,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,2963,3600.0,-637,1,59,0,0,0,1,0,0,1,0,0
122,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,14140,1820.0,12320,2,67,1,0,1,1,0,0,1,0,0
123,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,193736,1200.0,192536,2,69,0,0,1,0,1,0,0,0,0
124,1,0.0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,22972,6000.0,16972,4,51,0,0,1,1,1,0,0,0,0
125,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,600,360.0,240,1,46,0,0,0,1,0,1,0,1,0
126,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,4900,0.0,4900,1,74,0,0,0,0,0,1,0,0,0
127,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,22050,1200.0,20850,1,70,1,0,0,0,1,1,0,0,0
128,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,4287,0.0,4287,1,26,1,0,0,1,0,1,0,1,0
129,1,0.0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,17990,8400.0,9590,4,55,0,1,1,1,1,0,0,1,0
130,1,0.0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,54421,28360.0,26061,3,39,0,1,1,1,1,0,0,1,1
131,1,0.0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,172600,49000.0,123600,2,64,1,1,1,1,1,0,0,0,1
132,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,169600,5000.0,164600,2,72,0,0,1,0,1,0,0,0,0
133,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,117210,2000.0,115210,3,47,1,1,1,1,1,0,0,1,0
134,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0,1,0,0,13490,5000.0,8490,1,29,1,1,0,1,0,0,0,1,0
135,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,53800,3000.0,50800,1,83,1,0,0,0,1,0,0,0,0
136,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,7520,620.0,6900,2,62,0,0,1,1,0,1,0,0,0
137,1,0.0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,64048,9748.0,54300,1,62,1,0,0,1,1,1,0,0,1
138,1,0.0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,51984,5000.0,46984,3,58,1,0,0,1,1,1,1,1,0
139,1,0.0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,69490,22560.0,46930,2,43,0,1,1,1,1,1,0,1,1
140,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,87718,0.0,87718,1,77,0,1,0,0,1,1,0,0,0
141,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,17612,0.0,17612,1,54,1,0,0,1,0,1,0,0,0
142,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1100,0.0,1100,1,74,0,0,0,0,0,1,0,0,0
143,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,8200,0.0,8200,3,49,1,0,0,0,0,1,0,0,0
144,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,60310,6000.0,54310,2,64,0,0,1,1,1,1,0,0,0
145,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,12760,0.0,12760,1,44,0,1,0,1,0,1,0,0,0
